site,Ind,blade_weight,blade_length,blade_thickness,stipe_mass,stipe_length,stipe_diameter,digits,thallus_mass,total_length
Batsata Rock,10,0.8,144,0.48,0.62,72,3.74,10,695,216
Batsata Rock,11,0.5,123,0.38,1.12,114,4,13,1620,237
Batsata Rock,12,1.37,159,0.49,0.22,37,2.78,13,1590,196
Sea Point,1,0.36,171,1.6,2.45,147,63.5,17,2450,318
Sea Point,2,2.51,128,1.5,1.5,102,46,17,1500,230
Sea Point,4,1.89,121,1.8,1.5,130,47.2,10,1500,251
Sea Point,5,2.29,163,1.5,2,134,47.9,14,2000,297
Sea Point,6,1.6,105,1.4,1.63,137,45,17,1625,242
Sea Point,8,2.86,161,1.9,2.3,153,51.8,15,2300,314
Sea Point,9,2.48,153,1.6,1.38,104,48,16,1375,257
Sea Point,10,1.14,120,1.2,1.63,126,45,14,1625,246
Sea Point,11,2.08,143,1.7,1.75,123,51.5,13,1750,266
Sea Point,12,2.41,142,1.7,1.88,134,51,22,1875,276
Rocky Bank,1,2.25,139,1.3,3.75,187,54.11,17,6000,326
Rocky Bank,2,3,175,1.9,2.8,141,54.11,17,5800,316
Rocky Bank,3,3.8,195,1.6,5.6,174,50.93,16,9400,369
Rocky Bank,4,1.9,137,2.2,4.2,214,41.38,13,6100,351
Rocky Bank,5,2.25,147,1.6,3.3,187,38.2,12,5550,334
Rocky Bank,6,1.9,180,1.6,2.25,141,41.38,13,4150,321
Rocky Bank,8,1.3,122,1.1,4,197,38.2,12,5300,319
Rocky Bank,10,2.6,167,1.5,4.1,224,41.38,13,6700,391
Rocky Bank,11,2.2,170,1.9,2.6,157,47.75,15,4800,317
Rocky Bank,12,2.1,194,1.4,3.75,183,38.2,12,5850,377
Rocky Bank,13,1.3,160,1.9,2.45,155,50.93,16,3550,297
